TF	Target	Score
G2	G2399	10.8585
G86	G1930	9.95373
G78	G2505	9.63874
G86	G1841	9.39623
G21	G60	9.23709
G2	G1180	9.22968
G67	G926	9.14691
G2	G1540	8.97776
G99	G1225	8.74016
G33	G2505	8.48455
G22	G2426	8.28546
G55	G2435	8.21536
G50	G1759	8.11677
G60	G1180	7.98126
G57	G1759	7.81098
G86	G1845	7.80684
G14	G2624	7.77656
G2	G1930	7.63098
G46	G2688	7.43728
G82	G818	7.41651
G2	G936	7.38259
G32	G1761	7.35335
G10	G1540	7.33465
G12	G953	7.23766
G10	G1116	7.20441
G86	G458	7.20007
G17	G1930	7.19697
G86	G1232	7.10636
G83	G2597	7.08903
G86	G953	7.03624
G10	G1104	6.95344
G87	G2772	6.88987
G67	G1608	6.88613
G14	G831	6.87493
G2	G2737	6.87459
G97	G2749	6.83116
G2	G1210	6.82213
G78	G2741	6.82202
G86	G980	6.78715
G10	G1902	6.70557
G93	G2563	6.66505
G60	G2422	6.63306
G77	G999	6.63003
G2	G793	6.59399
G91	G2644	6.59331
G68	G2605	6.57935
G5	G1805	6.55474
G14	G1635	6.55083
G14	G868	6.5237
G35	G181	6.4828
G60	G21	6.4793
G74	G1000	6.40465
G14	G2264	6.40111
G56	G1586	6.39717
G98	G1089	6.3656
G82	G2437	6.35715
G95	G1048	6.35111
G97	G50	6.35033
G35	G1819	6.3345
G2	G953	6.3297
G95	G2505	6.24213
G2	G157	6.23104
G7	G1930	6.22678
G60	G423	6.1592
G55	G913	6.13964
G67	G2085	6.12503
G86	G2547	6.11659
G2	G2574	6.11626
G44	G1180	6.10912
G50	G2135	6.09559
G33	G18	6.08928
G78	G1554	6.05652
G14	G492	6.02241
G85	G581	6.01549
G15	G894	6.01344
G55	G286	6.00868
G95	G369	6.005
G2	G1343	5.98766
G2	G1140	5.95036
G46	G1528	5.94925
G2	G2568	5.9215
G44	G2772	5.9035
G7	G1883	5.90131
G83	G1316	5.81699
G10	G2499	5.79221
G2	G2103	5.76553
G28	G1180	5.76333
G14	G1288	5.76081
G99	G2772	5.76054
G67	G2034	5.75943
G2	G554	5.73666
G86	G2803	5.73472
G2	G989	5.70035
G12	G2123	5.69446
G36	G1821	5.67472
G55	G363	5.6691
G55	G788	5.65901
G97	G946	5.64919
G82	G1381	5.62086
G67	G2686	5.61172
G14	G398	5.60671
G99	G1291	5.59693
G82	G1303	5.58836
G69	G624	5.57706
G67	G641	5.54763
G17	G2048	5.53533
G99	G2504	5.53023
G11	G767	5.52319
G7	G1116	5.52079
G97	G2406	5.49806
G55	G1146	5.49748
G41	G1811	5.49333
G22	G1365	5.48954
G78	G1568	5.48008
G10	G1246	5.47786
G99	G958	5.47203
G10	G1433	5.45117
G60	G2772	5.44576
G14	G2374	5.43047
G55	G520	5.42928
G38	G2012	5.42695
G2	G1599	5.41693
G2	G399	5.41524
G86	G2231	5.40917
G44	G782	5.40534
G67	G1755	5.40221
G77	G2508	5.39866
G33	G2005	5.39726
G73	G1125	5.39662
G57	G1221	5.38098
G2	G845	5.37405
G57	G967	5.37105
G7	G539	5.36435
G74	G139	5.36405
G82	G247	5.35366
G46	G790	5.35084
G40	G2143	5.34445
G74	G2189	5.33496
G74	G1840	5.33002
G99	G553	5.3078
G95	G1000	5.29676
G7	G1678	5.27563
G14	G1268	5.26844
G2	G509	5.26765
G55	G227	5.26425
G67	G2505	5.26407
G2	G1362	5.26357
G86	G2126	5.24943
G10	G1930	5.23848
G36	G1452	5.23562
G99	G2669	5.23333
G34	G214	5.21485
G55	G1604	5.21383
G14	G2122	5.20521
G36	G1899	5.20472
G2	G332	5.20255
G84	G7	5.20057
G67	G2763	5.18825
G97	G1273	5.18401
G2	G1747	5.17418
G2	G149	5.17353
G95	G2005	5.17114
G10	G1513	5.16065
G64	G1460	5.15498
G10	G708	5.14866
G56	G1260	5.14589
G55	G2058	5.12978
G97	G57	5.11834
G20	G93	5.11573
G87	G2113	5.10817
G46	G124	5.09973
G21	G2644	5.08858
G67	G739	5.08551
G12	G896	5.07212
G12	G2467	5.07131
G33	G1587	5.07001
G3	G667	5.0606
G97	G2727	5.0431
G60	G861	5.03505
G67	G1749	5.02383
G33	G139	5.02046
G95	G2559	5.01975
G86	G2399	5.01771
G55	G1143	5.0062
G33	G2709	4.99955
G2	G1232	4.99314
G93	G2697	4.99011
G41	G728	4.98932
G33	G822	4.9824
G50	G251	4.97484
G85	G1045	4.97104
G14	G903	4.96694
G78	G191	4.96049
G74	G2071	4.95334
G78	G1048	4.95277
G57	G2395	4.95259
G2	G2431	4.95126
G65	G93	4.9464
G50	G1838	4.94264
G78	G1126	4.93832
G71	G1154	4.93151
G86	G2650	4.91593
G86	G258	4.91271
G82	G2672	4.90545
G86	G538	4.9049
G10	G2574	4.89571
G57	G2439	4.89218
G86	G266	4.89034
G55	G2558	4.874
G74	G2555	4.87229
G95	G1390	4.87168
G23	G1773	4.8713
G99	G1007	4.86975
G58	G2696	4.86388
G57	G47	4.85652
G91	G2416	4.85231
G10	G2561	4.85087
G8	G1282	4.84766
G97	G2508	4.84756
G82	G1847	4.84023
G14	G2479	4.83613
G33	G2699	4.83206
G6	G1159	4.82965
G86	G2588	4.82325
G92	G1985	4.82244
G12	G2267	4.814
G71	G1865	4.81009
G97	G1837	4.80638
G67	G2706	4.7982
G57	G220	4.79209
G98	G314	4.78335
G97	G199	4.78033
G10	G1809	4.77958
G92	G2356	4.77402
G99	G737	4.77153
G32	G2679	4.76166
G4	G1576	4.75613
G10	G1883	4.75346
G23	G982	4.74395
G27	G584	4.74227
G6	G483	4.74105
G92	G878	4.73401
G58	G584	4.72905
G33	G421	4.7282
G86	G122	4.72289
G86	G2574	4.72113
G99	G1889	4.71406
G33	G382	4.70348
G33	G1814	4.70299
G74	G321	4.6966
G60	G117	4.69423
G23	G1098	4.69316
G67	G2654	4.69151
G14	G2738	4.69145
G97	G1037	4.69089
G2	G122	4.68124
G10	G458	4.68108
G86	G1946	4.68075
G74	G382	4.67827
G97	G1166	4.67377
G16	G1980	4.67352
G61	G263	4.67258
G78	G571	4.66812
G97	G1057	4.66525
G86	G2597	4.66525
G4	G1337	4.66092
G50	G682	4.66042
G7	G2309	4.65986
G88	G1808	4.65843
G46	G199	4.65434
G97	G595	4.6522
G65	G2634	4.64335
G46	G1236	4.63978
G17	G139	4.63918
G50	G2054	4.63005
G74	G2154	4.62707
G46	G2137	4.61715
G48	G2040	4.61666
G12	G1210	4.61564
G82	G737	4.59729
G14	G1118	4.59713
G58	G1266	4.59413
G86	G664	4.58403
G55	G2193	4.5827
G19	G16	4.58187
G86	G635	4.58171
G14	G1560	4.57423
G41	G142	4.56989
G43	G298	4.56104
G34	G1577	4.55521
G46	G251	4.55471
G86	G1097	4.55394
G57	G1589	4.55031
G14	G607	4.54815
