Metric,Method,AvgRank,CD,Friedman_Chi2,Friedman_p
AUROC,SPSID,1.125,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,SPSID,1.125,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
AUROC,RENDOR,2.4375,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,RENDOR,3.6875,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
AUROC,ND,2.75,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,ND,2.3125,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
AUROC,NE,3.6875,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,NE,2.875,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
AUROC,Silencer,5.1875,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,Silencer,6.0,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
AUROC,ICM,5.8125,1.8850978091335209,71.14285714285711,5.925462244623708e-14
AUPR,ICM,5.0,1.8850978091335209,73.03571428571428,2.3896356697111003e-14
