Trial,Method,AUROC,AUPR
1,SPSID,0.9176613711085582,0.4684769450066098
1,RENDOR,0.8604064952023048,0.26979640558749524
1,ND,0.8561051577562004,0.2589159477727328
1,NE,0.8145459170191269,0.25388685881206013
1,Silencer,0.5547197637263838,0.056534272745033975
1,ICM,0.4630721418467348,0.04523651780659241
2,SPSID,0.8987149897242219,0.40656460275177525
2,RENDOR,0.8348128301968,0.23752937443536798
2,ND,0.8277860046770034,0.2225798658415547
2,NE,0.7852680668983648,0.22005510870749284
2,Silencer,0.48650160861658975,0.04583875766820425
2,ICM,0.475227394184591,0.04585984151408387
3,SPSID,0.9026914922069093,0.4648081850874773
3,RENDOR,0.8492898088864113,0.26681022355731365
3,ND,0.8431534749096955,0.25542532607599955
3,NE,0.8051558134813864,0.244734168482335
3,Silencer,0.5298778110388962,0.056994229299101445
3,ICM,0.4381229075301525,0.04500002790334884
4,SPSID,0.9019151969901777,0.40171659391005277
4,RENDOR,0.847591577580213,0.252113539419761
4,ND,0.8383233070632705,0.23514227618595418
4,NE,0.7904594849279485,0.22189996037020768
4,Silencer,0.5091398907315972,0.04962592187886184
4,ICM,0.4300149291131824,0.03956833695284402
5,SPSID,0.9059696803788071,0.4695797088488817
5,RENDOR,0.8474120142979449,0.2758354314682903
5,ND,0.8403708025874024,0.25729636494595476
5,NE,0.8099848078281623,0.24801436491039644
5,Silencer,0.5308393823537894,0.05583193261230034
5,ICM,0.44900110534552673,0.04336663708432213
6,SPSID,0.9113958592423208,0.4647359218100861
6,RENDOR,0.8595377669461495,0.25752677171425487
6,ND,0.8480178788729757,0.24994987200979074
6,NE,0.8231845321672617,0.25219117414278674
6,Silencer,0.5505120786028537,0.05725248502757725
6,ICM,0.4704779623166312,0.047061283099394995
7,SPSID,0.9148197273482775,0.4288110876239819
7,RENDOR,0.8643732243192261,0.2569213458858492
7,ND,0.8590457931515703,0.2500515885413464
7,NE,0.805513168004736,0.22469959695992583
7,Silencer,0.5095201495274863,0.046200626379374644
7,ICM,0.4542279059427891,0.03857527093731284
8,SPSID,0.9161120034744723,0.49465924766870517
8,RENDOR,0.8570123674668062,0.28458938702757225
8,ND,0.8463923697762273,0.2560928474257042
8,NE,0.8142411138992679,0.25774673563387973
8,Silencer,0.5280545109542389,0.05377963463012857
8,ICM,0.4736980207916833,0.04692205848641874
9,SPSID,0.9089209060206742,0.4471175935273977
9,RENDOR,0.8495112462629864,0.24217310418391516
9,ND,0.8447267287174479,0.2473623644038389
9,NE,0.7951758218579563,0.2227308528290657
9,Silencer,0.535543875451068,0.058831617564868696
9,ICM,0.43486011699468774,0.04445635174283474
10,SPSID,0.8963545184359196,0.4147056802246897
10,RENDOR,0.8441202582179235,0.24816649788976586
10,ND,0.8329049775396513,0.23586709335308817
10,NE,0.7960464130895343,0.2297571893883883
10,Silencer,0.5393815358255029,0.05546281251452144
10,ICM,0.469906737370735,0.04550145487778102
11,SPSID,0.910390841256469,0.45088611162564873
11,RENDOR,0.8589109366015433,0.2801033138545002
11,ND,0.8512454283173534,0.2596092166397459
11,NE,0.8114314632058945,0.2564031641797678
11,Silencer,0.5120317995212688,0.05250135440928605
11,ICM,0.43759402455169094,0.04247146368197537
12,SPSID,0.9055229719472248,0.4287243336462353
12,RENDOR,0.8579353558212803,0.28506303189318516
12,ND,0.8407290182479392,0.23154953339356313
12,NE,0.8109129472919587,0.249621988232829
12,Silencer,0.5252604060054062,0.04991600898411333
12,ICM,0.43693992379037405,0.04020867201116729
13,SPSID,0.9054343779729488,0.43234684661837736
13,RENDOR,0.8427848688110963,0.24893741688809348
13,ND,0.832960242627087,0.22960667080128092
13,NE,0.78613296060886,0.23007595067149858
13,Silencer,0.516223252078479,0.05173320716766378
13,ICM,0.4608466958044368,0.044288930522428153
14,SPSID,0.9029231823761019,0.45062864803968355
14,RENDOR,0.8523944335517192,0.2687974928105836
14,ND,0.842318184474944,0.24114565957694656
14,NE,0.811175085946259,0.26236890147564357
14,Silencer,0.5362261223492154,0.0561932997760433
14,ICM,0.4358693723133492,0.042599006673588145
15,SPSID,0.896091705149675,0.39771171179613596
15,RENDOR,0.8423477736240562,0.26488493097276944
15,ND,0.8392365422241769,0.23718463810027163
15,NE,0.7865167943795073,0.2343002728759868
15,Silencer,0.5405656579325744,0.0540636719020028
15,ICM,0.4502561586909575,0.041690456645162535
16,SPSID,0.9186984290846147,0.4571686177410402
16,RENDOR,0.8500128780650578,0.2396724673652281
16,ND,0.8537664951329257,0.25779559222087933
16,NE,0.7992601629831229,0.2185322851739751
16,Silencer,0.5130784832037706,0.0513275038212801
16,ICM,0.5067339245772919,0.0514651816792659
17,SPSID,0.916690037339721,0.458248343645876
17,RENDOR,0.8606555687581281,0.27297192671672516
17,ND,0.8592812854739956,0.2615411404592221
17,NE,0.7967195468801084,0.24593233839016024
17,Silencer,0.5302298468236021,0.05475134272138447
17,ICM,0.44970594613511194,0.04242650627134298
18,SPSID,0.9216373532255835,0.45920489229043504
18,RENDOR,0.8613959939218124,0.27112282744881916
18,ND,0.8511215361237741,0.2560373989224687
18,NE,0.8198861721232215,0.23881519750457084
18,Silencer,0.5258601464290649,0.05431447843724685
18,ICM,0.46607995579499933,0.04353017672997501
19,SPSID,0.9058285610649764,0.44827735823514864
19,RENDOR,0.8501177605274067,0.26341165359579416
19,ND,0.8464416094997391,0.25053074077918425
19,NE,0.8019588030382048,0.2467185258856248
19,Silencer,0.5392136705847742,0.05741506427508807
19,ICM,0.44714691900349024,0.0441590837820909
20,SPSID,0.9181698096164166,0.49286392345284225
20,RENDOR,0.8724259958873319,0.2980959414611196
20,ND,0.8602589811848097,0.25980121636763076
20,NE,0.8263636894988815,0.2717398523107327
20,Silencer,0.5252301021790763,0.05611751391222754
20,ICM,0.4735167561995547,0.04602431366408179
21,SPSID,0.9100677664321075,0.4324052462119128
21,RENDOR,0.8603199461454162,0.2627749394437943
21,ND,0.8491040128168286,0.24392896224825256
21,NE,0.8165485961161073,0.2486294174600618
21,Silencer,0.5347429296085084,0.05177797167496141
21,ICM,0.47993943116974647,0.04465291376698212
22,SPSID,0.9090998388938418,0.4382470566404773
22,RENDOR,0.8431131549173875,0.2600086599974554
22,ND,0.8440905322759763,0.26100902557153055
22,NE,0.7910428104421817,0.24073290926840113
22,Silencer,0.5184589075021245,0.053735916411915254
22,ICM,0.44411753971605694,0.04446115740448169
23,SPSID,0.9076947475901131,0.43197113729883585
23,RENDOR,0.8672455014860135,0.2758012703188832
23,ND,0.8578344602948434,0.25836111074463164
23,NE,0.7983281290376602,0.2512344977372397
23,Silencer,0.5178061774690603,0.054978902660162664
23,ICM,0.44141016923705456,0.04382019618593502
24,SPSID,0.8908453574631123,0.3928576042152778
24,RENDOR,0.8478602495045462,0.23888030088997175
24,ND,0.8344790594154021,0.21595167399417867
24,NE,0.7994559199729456,0.21520094488699493
24,Silencer,0.5381212238706521,0.05562890796440817
24,ICM,0.4364200232958594,0.04240845160186434
25,SPSID,0.9031942962473938,0.43898892096968006
25,RENDOR,0.8485929550461071,0.2628299765738419
25,ND,0.836956430169858,0.24674615452165274
25,NE,0.8022950663378284,0.22434997237626808
25,Silencer,0.5213479777703397,0.05381298312587021
25,ICM,0.45970581267358573,0.04651120508459855
26,SPSID,0.905348109058927,0.4366329782542484
26,RENDOR,0.8474311848222139,0.2845130666170588
26,ND,0.8415910541525317,0.2571464303831414
26,NE,0.7888232189973615,0.243368447788567
26,Silencer,0.5194221384596056,0.05523244314990036
26,ICM,0.4242447543661264,0.04345002175773503
27,SPSID,0.908826301975411,0.43043486019869526
