Beta,Trial,Method,AUROC,AUPR
0.1,1,SPSID,0.9188848173138195,0.45983788525190095
0.1,1,RENDOR,0.8690380445134032,0.28572748891223404
0.1,1,ND,0.8569071623934112,0.2532606297478125
0.1,1,NE,0.8104630479778628,0.2563450928581697
0.1,1,Silencer,0.5248335846516736,0.05669136934362386
0.1,1,ICM,0.4832847465270505,0.04772669407754509
0.1,2,SPSID,0.9058600789203282,0.441519534835274
0.1,2,RENDOR,0.8556138472421395,0.2561169179386543
0.1,2,ND,0.8516033589731592,0.2564364996301671
0.1,2,NE,0.789145374191905,0.21616275109725486
0.1,2,Silencer,0.5132198007576132,0.05318688703898421
0.1,2,ICM,0.4305687857546203,0.041477158220196965
0.1,3,SPSID,0.9051577711886118,0.44616202006444833
0.1,3,RENDOR,0.848099326172238,0.27185184366431114
0.1,3,ND,0.8453491423453097,0.26062064197941737
0.1,3,NE,0.8009827027119121,0.22999595844422188
0.1,3,Silencer,0.553149720410617,0.058859453786721756
0.1,3,ICM,0.4678598431606721,0.048005955080470473
0.1,4,SPSID,0.9022000730522322,0.42126817757269025
0.1,4,RENDOR,0.8533241485053116,0.26781325185510707
0.1,4,ND,0.8369272073010464,0.22931970287274112
0.1,4,NE,0.7970787156295012,0.24104436245340916
0.1,4,Silencer,0.5269475283523372,0.05166950311158018
0.1,4,ICM,0.48456004739040587,0.045616095714960225
0.1,5,SPSID,0.9043536494259916,0.42949377118987025
0.1,5,RENDOR,0.8525147530180031,0.2806497609737241
0.1,5,ND,0.8441245271817719,0.23659639144504577
0.1,5,NE,0.800724647547881,0.24379787357919874
0.1,5,Silencer,0.5363233781665319,0.05205702334492351
0.1,5,ICM,0.47984003834286915,0.042796533497869806
0.1,6,SPSID,0.913419177258742,0.43188836602873054
0.1,6,RENDOR,0.8580806922352904,0.2674125494087946
0.1,6,ND,0.8522195681614653,0.24880184942298603
0.1,6,NE,0.818302297520211,0.24771938122729034
0.1,6,Silencer,0.5353965579819998,0.05411082426772813
0.1,6,ICM,0.4335540070605047,0.040802121820919225
0.1,7,SPSID,0.9084942628161705,0.4479988305486831
0.1,7,RENDOR,0.8528685050667166,0.2799690727380107
0.1,7,ND,0.8465080777394488,0.2533805786044996
0.1,7,NE,0.8043447486443015,0.2504072813433821
0.1,7,Silencer,0.48442987712734364,0.05183251834506509
0.1,7,ICM,0.43093710809806196,0.04029227277890675
0.1,8,SPSID,0.9126244028926825,0.4722984958755793
0.1,8,RENDOR,0.8494078076929208,0.27378455328576085
0.1,8,ND,0.8454907836917307,0.25221275099092827
0.1,8,NE,0.7958674594445241,0.25404578067319805
0.1,8,Silencer,0.5082059947183566,0.051883398197512975
0.1,8,ICM,0.45949967853176693,0.04508344915534777
0.1,9,SPSID,0.9081357162591892,0.47134330192655893
0.1,9,RENDOR,0.8611879235715716,0.2716752572224303
0.1,9,ND,0.8475530226284056,0.25271890701489
0.1,9,NE,0.8170314912428016,0.25348591248654384
0.1,9,Silencer,0.49935489812612754,0.05069874417055044
0.1,9,ICM,0.4427800922038453,0.04240437457263356
0.1,10,SPSID,0.9129227318775023,0.45200860329078535
0.1,10,RENDOR,0.8602405317702381,0.24201906479126536
0.1,10,ND,0.8546570526190335,0.25844937291628434
0.1,10,NE,0.8130568662610853,0.22387161578544182
0.1,10,Silencer,0.5248818198070329,0.05270526651600704
0.1,10,ICM,0.4404705538189836,0.04217220361277953
0.1,11,SPSID,0.9170227259443462,0.457947645809368
0.1,11,RENDOR,0.8653228763170898,0.2987949305971134
0.1,11,ND,0.8582197567468477,0.2592492985454465
0.1,11,NE,0.8160677793186999,0.26429120271935447
0.1,11,Silencer,0.5264845190463285,0.06017599220440234
0.1,11,ICM,0.42374731002821486,0.042258688996050536
0.1,12,SPSID,0.9123279469516513,0.45621036919351454
0.1,12,RENDOR,0.8554213609734114,0.2793514901268181
0.1,12,ND,0.8494620056224383,0.25674782232795845
0.1,12,NE,0.7993433335479303,0.22743041387559393
0.1,12,Silencer,0.5383868752548338,0.054860039920751266
0.1,12,ICM,0.4276233395566429,0.03999072587700209
0.1,13,SPSID,0.9131707935023046,0.4336795706442663
0.1,13,RENDOR,0.8610580326018686,0.2637303007320085
0.1,13,ND,0.8592988011491535,0.2529894988476338
0.1,13,NE,0.8179944562117802,0.24305839332006599
0.1,13,Silencer,0.4995344741595509,0.04792053719225489
0.1,13,ICM,0.48525067082672246,0.04525666136743273
0.1,14,SPSID,0.9036909656204478,0.4533552306884848
0.1,14,RENDOR,0.8486719856920539,0.25745584418745654
0.1,14,ND,0.8430974612686687,0.25549605221495103
0.1,14,NE,0.8071492446187589,0.22924430918272934
0.1,14,Silencer,0.5157536309067561,0.05291032392416503
0.1,14,ICM,0.43682454516194325,0.04346290286633134
0.1,15,SPSID,0.9113673260078887,0.4316663412444311
0.1,15,RENDOR,0.8517854144410726,0.24626483032806049
0.1,15,ND,0.8470755294860135,0.2459448770279244
0.1,15,NE,0.8019030922234947,0.23617909922505906
0.1,15,Silencer,0.49699207437841786,0.049475900774036456
0.1,15,ICM,0.4734213137709355,0.04664367536546133
0.1,16,SPSID,0.9176840123159626,0.45804274984933985
0.1,16,RENDOR,0.8612373129538253,0.2871816313870044
0.1,16,ND,0.8508379885933592,0.2551793376959311
0.1,16,NE,0.8169179002687849,0.2582996393295695
0.1,16,Silencer,0.5506056852676482,0.06160689971448178
0.1,16,ICM,0.4611544877709578,0.04624707911144459
0.1,17,SPSID,0.9117792572113788,0.4766338025385287
0.1,17,RENDOR,0.8644517520236497,0.2844246380605287
0.1,17,ND,0.8484298344463488,0.2560295975440511
0.1,17,NE,0.828170008293056,0.25411076081403167
0.1,17,Silencer,0.5017517118807004,0.048476321392585855
0.1,17,ICM,0.4617953939459616,0.045501957237250194
0.1,18,SPSID,0.9051598506978256,0.4478163921742886
0.1,18,RENDOR,0.8508175105485232,0.30321570280169463
0.1,18,ND,0.8418900113599481,0.259070947671658
0.1,18,NE,0.7976902791301524,0.27338267825002915
0.1,18,Silencer,0.5746811100292113,0.06809303570637076
0.1,18,ICM,0.4576002109704641,0.047237984383404756
0.1,19,SPSID,0.914909691386045,0.4436051607705497
0.1,19,RENDOR,0.8651930390473703,0.2748253698475385
0.1,19,ND,0.8609321520981843,0.272555843186915
0.1,19,NE,0.8156553809428412,0.24435968109619594
0.1,19,Silencer,0.5367781375977494,0.056897274687099375
0.1,19,ICM,0.44724467222711095,0.04411537115167436
0.1,20,SPSID,0.9120765115372893,0.44214480577673343
0.1,20,RENDOR,0.8584239712769263,0.2579143202772097
0.1,20,ND,0.8556603524998491,0.23886339590864875
0.1,20,NE,0.8096901664234134,0.24272001684607938
0.1,20,Silencer,0.5350088692773224,0.05273561061049603
0.1,20,ICM,0.4520863147295763,0.03973435943246742
0.1,21,SPSID,0.9098287833808053,0.4315438238577772
0.1,21,RENDOR,0.8573731128227758,0.2941368875620232
0.1,21,ND,0.8491755300477394,0.26712305900768346
0.1,21,NE,0.7990444598226822,0.2745988956207662
0.1,21,Silencer,0.5122725023735976,0.0526061120422683
0.1,21,ICM,0.46484233963172467,0.04619789766092744
