Beta,Method,AUROC,AUPR
0.1,ICM,0.4596990784737995,0.04511463467162374
0.1,ND,0.8468938501390566,0.2508368899917563
0.1,NE,0.8042480349498065,0.24450940554985182
0.1,RENDOR,0.8552620223372247,0.26938576342390036
0.1,SPSID,0.9093744555206468,0.4458792513636852
0.1,Silencer,0.5250022160555633,0.05447938660111406
0.3,ICM,0.4604749026089809,0.045053740344409905
0.3,ND,0.8306884369263566,0.22595403176651122
0.3,NE,0.7958693746674114,0.22723205424031687
0.3,RENDOR,0.8387365525135095,0.23977036075020883
0.3,SPSID,0.8966329317240015,0.38134748830802967
0.3,Silencer,0.5219577190077299,0.054489485688679666
0.5,ICM,0.46588695368935773,0.045404282434749185
0.5,ND,0.8071643739945844,0.18733084109823211
0.5,NE,0.7770713848920172,0.19873332637616056
0.5,RENDOR,0.8163316143519177,0.20141570208886292
0.5,SPSID,0.878684467783113,0.3042395753908316
0.5,Silencer,0.5179283863357718,0.053972519142576614
0.7,ICM,0.4707760920836812,0.045766017494784574
0.7,ND,0.7802339562849522,0.15034517030723668
0.7,NE,0.7536317425336877,0.16815336404309136
0.7,RENDOR,0.7915141508834761,0.1655699317148606
0.7,SPSID,0.8578353318135892,0.23716681615606716
0.7,Silencer,0.5129948937376991,0.0531164714990054
0.9,ICM,0.47766757276396277,0.04659940818838435
0.9,ND,0.7520062445759583,0.12277786903465418
0.9,NE,0.725426251854853,0.14087077358490846
0.9,RENDOR,0.7654285791963646,0.13572445348984633
0.9,SPSID,0.836666013432132,0.1883696184980509
0.9,Silencer,0.5095666991543083,0.05265058827050992
