Density,Trial,Method,AUROC,AUPR
0.01,1,SPSID,0.920808618337256,0.1341647912501639
0.01,1,RENDOR,0.8741441638259019,0.07698125904509487
0.01,1,ND,0.8680672632615963,0.1210179388848942
0.01,1,NE,0.8246427231769298,0.06487642235929661
0.01,1,Silencer,0.5333719430005894,0.012328497047082812
0.01,1,ICM,0.4668795007399041,0.01044843557351206
0.01,2,SPSID,0.9308384117903116,0.23262404511787715
0.01,2,RENDOR,0.877736148249487,0.10229932047506045
0.01,2,ND,0.8784347599651763,0.11952363944165705
0.01,2,NE,0.8052768018158075,0.08726911837381852
0.01,2,Silencer,0.5313607673652135,0.010987440096391849
0.01,2,ICM,0.4685129189727007,0.01042038283700963
0.01,3,SPSID,0.9132150373911716,0.18754367655101867
0.01,3,RENDOR,0.8631894829122166,0.09068305647099209
0.01,3,ND,0.8485923741175718,0.11834973983559052
0.01,3,NE,0.83564743337202,0.08031915405544575
0.01,3,Silencer,0.5584212655855703,0.013617516119975115
0.01,3,ICM,0.45321045888035894,0.010060558310934935
0.01,4,SPSID,0.9348804878886003,0.18265757161018661
0.01,4,RENDOR,0.898053327536033,0.10201150538517158
0.01,4,ND,0.886564565526658,0.11442121160287883
0.01,4,NE,0.8662997585729487,0.10317656579492712
0.01,4,Silencer,0.4988205163411406,0.011431363114778057
0.01,4,ICM,0.4525517656975259,0.010383540912217302
0.01,5,SPSID,0.9024289544644936,0.17449705046597824
0.01,5,RENDOR,0.8563070433386348,0.08745080196036188
0.01,5,ND,0.8322253624266279,0.11035272065797347
0.01,5,NE,0.8205849933826866,0.07272912742444344
0.01,5,Silencer,0.539993745017945,0.012777722043322127
0.01,5,ICM,0.5318660823598064,0.012690216744096258
0.01,6,SPSID,0.9068002366118595,0.17768517234125408
0.01,6,RENDOR,0.8713854644586817,0.12525251685522137
0.01,6,ND,0.8606825055351676,0.11670354930389555
0.01,6,NE,0.8466981756754769,0.1280373814852826
0.01,6,Silencer,0.4776170282060564,0.010174345076159174
0.01,6,ICM,0.410098284171628,0.008320315639334094
0.01,7,SPSID,0.9029272727272727,0.16945985277878367
0.01,7,RENDOR,0.8585656565656565,0.0864970628813144
0.01,7,ND,0.8553186868686868,0.09999787189335985
0.01,7,NE,0.7982727272727272,0.07995397160281431
0.01,7,Silencer,0.4694515151515152,0.00938436567444258
0.01,7,ICM,0.502410101010101,0.010530293180702751
0.01,8,SPSID,0.8874677860729562,0.14970857929029938
0.01,8,RENDOR,0.8517532346767981,0.08550327876716053
0.01,8,ND,0.8459948457716728,0.10639426680749514
0.01,8,NE,0.8141666888068226,0.08694401679667746
0.01,8,Silencer,0.49763649406201016,0.014900304030911292
0.01,8,ICM,0.43582720051010926,0.008027211502219432
0.01,9,SPSID,0.9109995661344296,0.13956423645833838
0.01,9,RENDOR,0.9016585692745854,0.09570885246907163
0.01,9,ND,0.8753168077803695,0.11633446700587932
0.01,9,NE,0.8491006954736223,0.08033639062111696
0.01,9,Silencer,0.5293063305711991,0.009984199445578068
0.01,9,ICM,0.4412928334858306,0.008914042410522847
0.01,10,SPSID,0.9172738668601966,0.2229766634442026
0.01,10,RENDOR,0.8709397198214245,0.10635060449410794
0.01,10,ND,0.8690629192232412,0.11569968814354102
0.01,10,NE,0.8266196037034594,0.10922336870491099
0.01,10,Silencer,0.5812174792725033,0.01580006033493035
0.01,10,ICM,0.4728134415341647,0.010640070303150246
0.01,11,SPSID,0.9327143668103833,0.1823644850887722
0.01,11,RENDOR,0.9034440373256517,0.13203109323152726
0.01,11,ND,0.893468714667067,0.14386408586739546
0.01,11,NE,0.8693437985278042,0.09081116602172291
0.01,11,Silencer,0.5491435648906173,0.010580128722824782
0.01,11,ICM,0.49834389704950943,0.008774623602836918
0.01,12,SPSID,0.9351275149526584,0.1904255387538561
0.01,12,RENDOR,0.888387833420583,0.11188338752215805
0.01,12,ND,0.8966844463497377,0.13951281342858474
0.01,12,NE,0.8462648238451107,0.09327368474857269
0.01,12,Silencer,0.5535966759961912,0.010869663262684045
0.01,12,ICM,0.4209271266575707,0.008183178388802234
0.01,13,SPSID,0.9056878573831146,0.1455306428151244
0.01,13,RENDOR,0.8626079156856149,0.09288259079542813
0.01,13,ND,0.8434353627088238,0.10667774254582987
0.01,13,NE,0.8445543222334342,0.0858491065388971
0.01,13,Silencer,0.529536943603543,0.009288545485409663
0.01,13,ICM,0.41872182980154726,0.009584141034782528
0.01,14,SPSID,0.9020015242140547,0.23741806008943117
0.01,14,RENDOR,0.8783301548774849,0.11815667890376738
0.01,14,ND,0.8726590492082754,0.12523796300240045
0.01,14,NE,0.8464300161812298,0.11815158589827311
0.01,14,Silencer,0.5471341525080907,0.012656835107149232
0.01,14,ICM,0.43582950473878873,0.009354509019315236
0.01,15,SPSID,0.9082945672080088,0.17544784651527337
0.01,15,RENDOR,0.8620437707979303,0.092020170292619
0.01,15,ND,0.8519627445116469,0.10893722907315954
0.01,15,NE,0.82994331860704,0.07594670746396985
0.01,15,Silencer,0.5245509347378823,0.011341462610387966
0.01,15,ICM,0.44832061244310106,0.009719246117277668
0.01,16,SPSID,0.9243480210785961,0.23358018237286962
0.01,16,RENDOR,0.8722592218858617,0.08553423924512343
0.01,16,ND,0.8754339051463169,0.09202237771255375
0.01,16,NE,0.8646238367529991,0.0980579858633342
0.01,16,Silencer,0.4801491198564861,0.008619633982457658
0.01,16,ICM,0.4405157528870948,0.00802816755647471
0.01,17,SPSID,0.9165505983136392,0.1827052751374436
0.01,17,RENDOR,0.8595123631516676,0.06996047626955668
0.01,17,ND,0.8498262718845008,0.10576951869345733
0.01,17,NE,0.8103517994338861,0.06705972013910724
0.01,17,Silencer,0.5099640936933698,0.01169283232560215
0.01,17,ICM,0.47778601488670236,0.010475723708518785
0.01,18,SPSID,0.8986106093802047,0.16088099282599044
0.01,18,RENDOR,0.8425810810176824,0.07838955352973327
0.01,18,ND,0.8391568653208288,0.09469081437730349
0.01,18,NE,0.7784364136222678,0.07432557365924422
0.01,18,Silencer,0.5098322316104545,0.010263812026713334
0.01,18,ICM,0.4335822961187139,0.007412653705515432
0.01,19,SPSID,0.8989180401390289,0.180470564021494
0.01,19,RENDOR,0.8673079941697499,0.08912830272783184
0.01,19,ND,0.8539483125910977,0.09386314044541684
0.01,19,NE,0.8345464738199351,0.08038287944747334
0.01,19,Silencer,0.5277138692678551,0.010042441194870279
0.01,19,ICM,0.4435205740553875,0.0075999964945474945
0.01,20,SPSID,0.9139192648379136,0.15311248282926088
0.01,20,RENDOR,0.8523084978818166,0.07034105513529679
0.01,20,ND,0.839513747234577,0.06867338972884816
0.01,20,NE,0.8302531493322285,0.08086175816681096
0.01,20,Silencer,0.5071715722423829,0.010307933713346464
0.01,20,ICM,0.38188348837520086,0.006447331708113308
0.01,21,SPSID,0.9171795212412657,0.16530534634664218
0.01,21,RENDOR,0.8848295650787747,0.11664906824910524
0.01,21,ND,0.8744477802279551,0.11906410718830213
0.01,21,NE,0.8424522436834134,0.09412619871460542
0.01,21,Silencer,0.5157262413985494,0.011252338042725296
0.01,21,ICM,0.39482929939690214,0.008047074887610564
0.01,22,SPSID,0.906772831681607,0.16503816049628692
0.01,22,RENDOR,0.8567879633269212,0.08515060440805444
0.01,22,ND,0.846789482289018,0.10196898861607132
0.01,22,NE,0.8489960356248789,0.08240061768334297
0.01,22,Silencer,0.5360376656219454,0.00929955294988551
0.01,22,ICM,0.46047567863400085,0.007789059105052643
0.01,23,SPSID,0.8949282264772417,0.12344465172475735
0.01,23,RENDOR,0.8504915203244671,0.08185913008950842
0.01,23,ND,0.8520098564321341,0.09288851534684454
0.01,23,NE,0.8258504399895481,0.06783348202917047
0.01,23,Silencer,0.5161275714638176,0.01075272425818041
0.01,23,ICM,0.46923664702251006,0.010035755271052601
0.01,24,SPSID,0.9046832863935429,0.2167770319192751
0.01,24,RENDOR,0.8589133119676355,0.09101509114873838
0.01,24,ND,0.8484933651562551,0.12545493344229458
0.01,24,NE,0.8389170593030545,0.10597123192759622
0.01,24,Silencer,0.4928869295491131,0.011622163644457131
0.01,24,ICM,0.47364799179117734,0.010056105283875683
0.01,25,SPSID,0.8809464646464646,0.1752675336329943
0.01,25,RENDOR,0.8457636363636363,0.09122245299183801
0.01,25,ND,0.826730303030303,0.10441486331412746
0.01,25,NE,0.8225818181818182,0.09619755859154011
0.01,25,Silencer,0.5210272727272728,0.010804534329198551
0.01,25,ICM,0.4424181818181818,0.01043074155559135
0.01,26,SPSID,0.8660726305869684,0.12543017609121548
