Noise,Method,AUROC,AUPR
0.1,ICM,0.4385184224303119,0.04209758629355108
0.1,ND,0.9252487706353455,0.33181777659640643
0.1,NE,0.8836574147008899,0.31076671265600175
0.1,RENDOR,0.9388478191468239,0.37920742713425293
0.1,SPSID,0.9569250157703548,0.5278652963357536
0.1,Silencer,0.5365931146303115,0.05856024914481506
0.3,ICM,0.4547822542167088,0.0439952883421681
0.3,ND,0.8867901058329372,0.27003470113747124
0.3,NE,0.852729345257984,0.2780137061172135
0.3,RENDOR,0.8939545064465039,0.29581618108319385
0.3,SPSID,0.9399184845595667,0.45368996362089187
0.3,Silencer,0.5229883682719468,0.05542196880500649
0.5,ICM,0.4663667665166884,0.045426546512215754
0.5,ND,0.8069987120403238,0.18707344150526886
0.5,NE,0.7770445000276903,0.19896400052297858
0.5,RENDOR,0.8163305184714723,0.20220039225354103
0.5,SPSID,0.8783579069074989,0.30308143540899724
0.5,Silencer,0.5163981782904694,0.05362058993139871
0.7,ICM,0.47305856737773355,0.0464103960386633
0.7,ND,0.7396257927012181,0.13510144629473986
0.7,NE,0.7145090333038002,0.14394091225846017
0.7,RENDOR,0.7502843268664485,0.14574912220859093
0.7,SPSID,0.8113193763180079,0.20754181155484183
0.7,Silencer,0.5137617996619237,0.05296369073130473
0.9,ICM,0.47823209843639775,0.047178404805784065
0.9,ND,0.6930947589097688,0.10763062911529409
0.9,NE,0.6710965322094421,0.11414675161951085
0.9,RENDOR,0.7034300517724149,0.11590542327635925
0.9,SPSID,0.7576882087443773,0.1562659385452791
0.9,Silencer,0.510691218602332,0.05216575900467784
